promise_id,politician_id,description,announcement_date,status
P001,10000001,ลดค่ารถไฟฟ้าเหลือ 20 บาทตลอดสาย,2023-04-15,กำลังดำเนินการ
P002,10000001,เพิ่มเบี้ยผู้สูงอายุเป็น 3000 บาท,2023-04-20,ยังไม่เริ่ม
P003,10000001,สร้างสวนสาธารณะเพิ่ม 10 แห่งในเขต,2023-05-01,กำลังดำเนินการ
P004,20000002,แก้ปัญหาฝุ่น PM2.5 อย่างยั่งยืน,2023-03-10,เงียบหาย
P005,20000002,ส่งเสริมสินค้า OTOP สู่ตลาดโลก,2023-03-15,กำลังดำเนินการ
P006,30000003,ทำถนนคอนกรีตครบทุกซอย,2019-02-10,สำเร็จแล้ว
P007,30000003,ติดตั้งฟรีอินเทอร์เน็ตหมู่บ้าน,2019-02-12,เงียบหาย
P008,40000004,ลดภาษีสำหรับ SME รายใหม่,2023-04-05,ยังไม่เริ่ม
P009,40000004,ศูนย์ดูแลเด็กเล็ก 24 ชั่วโมง,2023-04-08,กำลังดำเนินการ
P010,50000005,สร้างสนามกีฬาชุมชนมาตรฐานสากล,2023-03-20,เงียบหาย
P011,50000005,แก้ปัญหาน้ำท่วมซ้ำซากด้วยระบบอุโมงค์,2023-03-25,กำลังดำเนินการ
P012,50000005,ทุนการศึกษาบุตรหลานเกษตรกร,2023-03-28,ยังไม่เริ่ม
